gen,best,mean,diversity
0,1.3995982242860947,-6.232451504039781,1.152592752321163
1,-6.001111569750238,-6.274864691339571,1.0993420542452654
2,-1.9655943288327649,-6.280200813095057,1.1113706409405757
3,2.834998769261979,-6.248307140417257,1.0897375892455068
4,1.1019042546133377,-6.2594785623576925,1.1241725177530992
5,6.62642530052031,-6.21509388007746,1.1064189073491753
6,125.72197727385934,-5.6042859019975095,1.0871057911764077
7,78.0309751827888,-5.442057071195157,1.1226917363433822
8,41.93734231899625,-5.652456026969343,1.1738325030716812
9,54.016265500656,-5.540345067673355,1.2017627681834548
10,24.807595273228607,-5.655239902475204,1.2266174355796216
11,63.199254748012834,-5.576310661055646,1.188953069606211
12,-0.32215177253908855,-6.049201913869067,1.0767340259363845
13,-3.6319275907299815,-6.035658007723739,0.9431271313994883
14,-4.4526259089201865,-6.019141094263675,0.8984893506367208
15,-4.106930473224386,-6.008276602915425,0.8494741435024089
16,-3.977039681634535,-6.009893927377755,0.7625702553457919
17,-1.1536702590546604,-5.996545182620079,0.7237355201040068
18,-3.999750625886195,-6.009856484182672,0.6045070288283986
19,-4.084620944846382,-5.9983339924442145,0.6081212020458785
20,-3.3299575875622516,-5.989761129392825,0.5771717103929228
21,-4.648276399643509,-6.0054879544795154,0.5654562271918393
22,-0.09705557801844122,-5.95131350347774,0.5752885308973984
23,-3.3937181139439954,-5.966495582763198,0.37248433890445076
24,-5.7177221802922205,-6.015116939542229,0.3332259004969265
25,-5.361064724547592,-6.010028392084264,0.3263595913571736
26,-3.0970555780184412,-5.9612946123744415,0.32816626934379145
27,-3.0751014661453944,-5.9527833188343955,0.2691213313088752
28,-3.7880870437178125,-5.974484198612376,0.23786586138318494
29,-3.8518680264794973,-5.975645014220829,0.25719242708488266
30,-4.425896871334661,-5.977084370086468,0.2660796238993743
31,-2.039461550675915,-5.960852623384633,0.2771065392012045
32,-1.213269101396845,-5.957725182983797,0.2896723728206629
33,-2.4577873627155036,-5.941754236191688,0.2976006316854986
34,-2.7880870437178125,-5.960981574918221,0.3129495738000959
35,-4.615629348239045,-5.976363151851996,0.31076148085059063
36,-1.6807303429263296,-5.909100795389186,0.3165214365329881
37,-3.707085384523795,-5.978202489618968,0.3043988782173191
38,-3.9202328914868296,-5.956352298841203,0.3082913940087144
39,-1.0267915132722898,-5.936708774148222,0.3038721186903355
40,-1.2983349058112914,-5.923374228059739,0.30582819742138867
41,-3.872363750666455,-5.932819460115147,0.311039660099706
42,-0.9076221383266017,-5.942246246888747,0.3072609766515613
43,-3.7880870437178125,-5.955893319131593,0.2940854084976707
44,1.6256031412354375,-5.907826985809475,0.3047474378195077
45,-1.0588833352601164,-5.951804165849163,0.31799806886259696
46,-4.554679345481734,-5.98475622362942,0.3209937764561813
47,-2.004311458993252,-5.93722663816287,0.31063795820191087
48,-0.7059405424152487,-5.897781325869655,0.2963667476455134
49,-4.666691162305465,-5.980433828941349,0.27737671091270766
50,-0.058883335260116354,-5.919457006492061,0.2843762789890679
